timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743794571.2604210,801.4286,802.6374,802.6374,827.2161,nan,nan,,,,,,,,,,
1743794571.2643249,772.4176,811.9048,803.0403,818.7546,nan,nan,,,,,,,,,,
1743794571.2682288,764.7619,815.9341,803.0403,804.2491,nan,nan,,,,,,,,,,
1743794571.2721329,797.3993,822.381,803.0403,807.0696,nan,nan,,,,,,,,,,
1743794571.2722676,,,,,,,,,,,,,nan,280861820.0,nan,
1743794571.2759020,,,,,,,0.026306152,0.11791992,1.007019,,,,,,,
1743794571.2760367,814.7253,829.6337,811.50183,836.8865,nan,nan,,,,,,,,,,
1743794571.2788181,,,,,,,,,,1611721.6,1609304.0,,,,,
1743794571.2799406,800.6227,817.5458,815.5311,829.2308,nan,nan,,,,,,,,,,
1743794571.2838447,782.8938,809.4872,809.4872,809.0842,nan,nan,,,,,,,,,,
1743794571.2877486,804.65204,810.696,812.3077,816.337,nan,nan,,,,,,,,,,
1743794571.2878814,,,,,,,,,,,,,nan,280861020.0,nan,
1743794571.2916524,828.4249,794.17584,815.9341,821.978,nan,nan,,,,,,,,,,
1743794571.2955124,,,,,,,0.019470215,0.11785889,1.0059204,,,,,,,
1743794571.2955563,807.0696,795.38464,818.7546,815.5311,nan,nan,,,,,,,,,,
1743794571.2994604,784.90845,803.0403,819.5604,807.0696,nan,nan,,,,,,,,,,
1743794571.3033643,797.8022,804.2491,819.9634,803.8461,nan,nan,,,,,,,,,,
1743794571.3034954,,,,,,,,,,,,,nan,280852160.0,nan,
1743794571.3072681,815.12823,796.5934,819.5604,806.6667,nan,nan,,,,,,,,,,
1743794571.3111722,800.6227,803.44324,816.337,821.978,nan,nan,,,,,,,,,,
1743794571.3139393,,,,,,,,,,1611721.6,1609304.0,,,,,
1743794571.3150761,784.10254,801.8315,816.337,823.1868,nan,nan,,,,,,,,,,
1743794571.3151231,,,,,,,0.018798828,0.12060547,1.0059814,,,,,,,
1743794571.3189800,792.1612,809.4872,811.50183,803.8461,nan,nan,,,,,,,,,,
1743794571.3191092,,,,,,,,,,,,,nan,280818300.0,nan,
1743794571.3228841,817.5458,821.978,806.26373,809.0842,nan,nan,,,,,,,,,,
1743794571.3267879,818.7546,823.5897,804.65204,817.5458,nan,nan,,,,,,,,,,
1743794571.3306918,796.5934,811.50183,805.05493,810.293,nan,nan,,,,,,,,,,
1743794571.3345959,788.93774,788.5348,803.44324,804.65204,nan,nan,,,,,,,,,,
1743794571.3347232,,,,,,,,,,,,,nan,280803800.0,nan,
1743794571.3347337,,,,,,,0.024536133,0.12249756,1.0093384,,,,,,,
1743794571.3384998,807.47253,805.8608,802.6374,803.0403,nan,nan,,,,,,,,,,
1743794571.3424037,826.0073,813.91943,802.6374,818.3516,nan,nan,,,,,,,,,,
1743794571.3463075,803.8461,802.6374,809.4872,813.1135,nan,nan,,,,,,,,,,
1743794571.3490605,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.3502116,790.14655,810.293,813.91943,798.60803,nan,nan,,,,,,,,,,
1743794571.3503370,,,,,,,,,,,,,nan,280767550.0,nan,
1743794571.3541155,810.293,806.6667,813.1135,805.4579,nan,nan,,,,,,,,,,
1743794571.3543441,,,,,,,0.024597168,0.12371826,1.0085449,,,,,,,
1743794571.3580194,828.022,805.8608,812.71063,822.7839,nan,nan,,,,,,,,,,
1743794571.3619235,812.3077,800.2198,811.0989,822.381,nan,nan,,,,,,,,,,
1743794571.3658273,791.3553,784.10254,812.71063,809.4872,nan,nan,,,,,,,,,,
1743794571.3659508,,,,,,,,,,,,,nan,280842500.0,nan,
1743794571.3697312,797.8022,800.2198,813.91943,808.2784,nan,nan,,,,,,,,,,
1743794571.3736353,809.4872,817.9487,812.3077,815.12823,nan,nan,,,,,,,,,,
1743794571.3739548,,,,,,,0.02911377,0.1194458,1.0078735,,,,,,,
1743794571.3775392,806.6667,809.0842,807.0696,812.71063,nan,nan,,,,,,,,,,
1743794571.3814430,780.4762,788.93774,802.23444,791.75824,nan,nan,,,,,,,,,,
1743794571.3815649,,,,,,,,,,,,,nan,280847330.0,nan,
1743794571.3841817,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.3853469,781.685,799.41394,801.4286,791.75824,nan,nan,,,,,,,,,,
1743794571.3892510,802.6374,812.71063,799.41394,805.8608,nan,nan,,,,,,,,,,
1743794571.3931549,795.38464,805.05493,798.20514,817.5458,nan,nan,,,,,,,,,,
1743794571.3935654,,,,,,,0.02355957,0.1184082,1.0076294,,,,,,,
1743794571.3970587,778.86444,800.6227,801.02563,822.381,nan,nan,,,,,,,,,,
1743794571.3971786,,,,,,,,,,,,,nan,280869900.0,nan,
1743794571.4009628,770.40295,810.293,799.81683,806.6667,nan,nan,,,,,,,,,,
1743794571.4048667,792.5641,823.1868,798.20514,803.8461,nan,nan,,,,,,,,,,
1743794571.4087706,806.26373,803.8461,797.8022,817.9487,nan,nan,,,,,,,,,,
