timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743795015.2019482,0.0,764.35895,787.326,478.6813,nan,nan,,,,,,,,,,
1743795015.2049232,,,,,,,,,,1611721.6,1609304.0,,,,,
1743795015.2058532,709.9634,816.337,810.293,992.8205,nan,nan,,,,,,,,,,
1743795015.2058706,,,,,,,,,,,,,nan,285514880.0,nan,
1743795015.2070849,,,,,,,-0.5001831,0.055908203,0.8633423,,,,,,,
1743795015.2097580,97.509155,817.5458,820.7692,1129.011,nan,nan,,,,,,,,,,
1743795015.2136631,1183.8096,767.5824,809.0842,630.18317,nan,nan,,,,,,,,,,
1743795015.2175682,6.849817,760.7326,793.36993,422.27106,nan,nan,,,,,,,,,,
1743795015.2214732,380.76923,801.4286,794.9817,903.7729,nan,nan,,,,,,,,,,
1743795015.2214918,,,,,,,,,,,,,nan,285458460.0,nan,
1743795015.2253780,1588.7546,819.5604,808.68134,1189.0476,nan,nan,,,,,,,,,,
1743795015.2266881,,,,,,,-0.5084839,0.05908203,0.8623657,,,,,,,
1743795015.2292831,1345.3846,777.6557,813.1135,744.21246,nan,nan,,,,,,,,,,
1743795015.2331882,173.66301,752.27106,798.20514,374.72528,nan,nan,,,,,,,,,,
1743795015.2370932,122.490845,794.57874,792.96704,724.87177,nan,nan,,,,,,,,,,
1743795015.2371132,,,,,,,,,,,,,nan,285504400.0,nan,
1743795015.2400515,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.2409980,1241.0256,821.1722,796.5934,1194.6886,nan,nan,,,,,,,,,,
1743795015.2449031,1564.5787,790.9524,780.87915,992.01465,nan,nan,,,,,,,,,,
1743795015.2462914,,,,,,,-0.50494385,0.060668945,0.86035156,,,,,,,
1743795015.2488081,487.54578,751.8681,783.69965,486.73993,nan,nan,,,,,,,,,,
1743795015.2527132,0.0,774.83514,811.50183,633.4066,nan,nan,,,,,,,,,,
1743795015.2527347,,,,,,,,,,,,,nan,285350460.0,nan,
1743795015.2566180,929.5604,847.3626,824.7985,1135.8608,nan,nan,,,,,,,,,,
1743795015.2605231,59.6337,856.63007,822.7839,1043.1868,nan,nan,,,,,,,,,,
1743795015.2644281,813.1135,790.54944,814.3223,548.3883,nan,nan,,,,,,,,,,
1743795015.2658944,,,,,,,-0.5048828,0.061035156,0.859375,,,,,,,
1743795015.2683332,0.0,771.6117,810.293,529.0476,nan,nan,,,,,,,,,,
1743795015.2683561,,,,,,,,,,,,,nan,285410900.0,nan,
1743795015.2722383,610.4396,818.3516,828.8278,1019.41394,nan,nan,,,,,,,,,,
1743795015.2751799,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.2761431,43.516483,820.7692,818.3516,1138.2784,nan,nan,,,,,,,,,,
1743795015.2800481,1126.5934,732.52747,764.7619,639.85345,nan,nan,,,,,,,,,,
1743795015.2839532,0.0,729.707,784.90845,419.45056,nan,nan,,,,,,,,,,
1743795015.2839773,,,,,,,,,,,,,nan,285435100.0,nan,
1743795015.2854977,,,,,,,-0.50878906,0.062194824,0.86169434,,,,,,,
1743795015.2878582,362.23444,820.3663,821.1722,846.1539,nan,nan,,,,,,,,,,
1743795015.2917631,1520.2565,856.63007,815.9341,1189.0476,nan,nan,,,,,,,,,,
1743795015.2956681,1480.7693,814.3223,811.9048,899.7436,nan,nan,,,,,,,,,,
1743795015.2995732,339.67032,769.59705,809.4872,413.00366,nan,nan,,,,,,,,,,
1743795015.2995987,,,,,,,,,,,,,nan,285389950.0,nan,
1743795015.3034782,114.83517,797.8022,818.3516,623.73627,nan,nan,,,,,,,,,,
1743795015.3051009,,,,,,,-0.5079956,0.061401367,0.86517334,,,,,,,
1743795015.3073831,1213.2234,839.707,826.4103,1139.0842,nan,nan,,,,,,,,,,
1743795015.3103082,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.3112881,22.161173,815.5311,806.26373,968.24176,nan,nan,,,,,,,,,,
1743795015.3151932,681.75824,753.0769,788.5348,477.0696,nan,nan,,,,,,,,,,
1743795015.3152201,,,,,,,,,,,,,nan,285354500.0,nan,
1743795015.3190982,0.0,763.5531,795.38464,601.5751,nan,nan,,,,,,,,,,
1743795015.3230031,915.4579,815.9341,813.5165,1121.3553,nan,nan,,,,,,,,,,
1743795015.3247042,,,,,,,-0.50823975,0.064453125,0.8579712,,,,,,,
1743795015.3269081,80.58608,819.5604,815.5311,1109.6703,nan,nan,,,,,,,,,,
1743795015.3308132,851.79486,784.90845,788.93774,580.2198,nan,nan,,,,,,,,,,
1743795015.3308415,,,,,,,,,,,,,nan,285256200.0,nan,
1743795015.3347182,0.0,775.64105,780.4762,494.79852,nan,nan,,,,,,,,,,
1743795015.3386230,544.7619,809.4872,807.0696,988.7912,nan,nan,,,,,,,,,,
1743795015.3425281,7.655678,844.5421,819.5604,1157.619,nan,nan,,,,,,,,,,
1743795015.3443074,,,,,,,-0.5100708,0.061462402,0.86047363,,,,,,,
1743795015.3454366,,,,,,,,,,1610915.8,1608498.1,,,,,
1743795015.3464332,1318.3883,827.619,813.91943,707.1429,nan,nan,,,,,,,,,,
1743795015.3464627,,,,,,,,,,,,,nan,285272320.0,nan,
1743795015.3503382,124.10256,787.326,809.4872,402.12454,nan,nan,,,,,,,,,,
1743795015.3542430,284.06595,834.87177,819.9634,794.17584,nan,nan,,,,,,,,,,
1743795015.3581481,1472.3077,854.21246,828.4249,1207.5824,nan,nan,,,,,,,,,,
1743795015.3620532,1482.381,782.8938,808.2784,884.43225,nan,nan,,,,,,,,,,
1743795015.3620842,,,,,,,,,,,,,nan,285257000.0,nan,
1743795015.3639107,,,,,,,-0.5057373,0.06335449,0.85998535,,,,,,,
1743795015.3659582,367.0696,771.6117,795.38464,446.04395,nan,nan,,,,,,,,,,
1743795015.3698630,39.89011,785.31134,793.36993,680.54944,nan,nan,,,,,,,,,,
1743795015.3737681,1095.9707,789.7436,815.9341,1139.8901,nan,nan,,,,,,,,,,
1743795015.3776731,26.593407,807.8755,814.7253,1002.0879,nan,nan,,,,,,,,,,
1743795015.3777056,,,,,,,,,,,,,nan,285237660.0,nan,
1743795015.3805647,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.3815782,684.57874,784.90845,792.1612,495.20148,nan,nan,,,,,,,,,,
1743795015.3835137,,,,,,,-0.5101929,0.057617188,0.868103,,,,,,,
1743795015.3854833,0.0,774.0293,796.5934,521.79486,nan,nan,,,,,,,,,,
1743795015.3893881,839.707,826.4103,815.9341,1027.8755,nan,nan,,,,,,,,,,
1743795015.3932931,113.22344,843.73627,822.381,1108.0586,nan,nan,,,,,,,,,,
1743795015.3933270,,,,,,,,,,,,,nan,285128060.0,nan,
1743795015.3971982,1089.9268,801.4286,815.9341,607.619,nan,nan,,,,,,,,,,
1743795015.4011033,0.0,788.1319,814.3223,476.66666,nan,nan,,,,,,,,,,
1743795015.4031169,,,,,,,-0.5031738,0.058044434,0.86291504,,,,,,,
1743795015.4050081,484.32236,826.4103,820.3663,946.4835,nan,nan,,,,,,,,,,
1743795015.4089131,1646.3737,823.5897,805.8608,1166.0806,nan,nan,,,,,,,,,,
1743795015.4089482,,,,,,,,,,,,,nan,285162720.0,nan,
1743795015.4128182,1268.4249,765.16486,783.2967,759.92676,nan,nan,,,,,,,,,,
1743795015.4156930,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.4167233,106.37363,746.63007,795.78754,440.40292,nan,nan,,,,,,,,,,
1743795015.4206281,159.15752,796.99634,812.71063,774.0293,nan,nan,,,,,,,,,,
1743795015.4227202,,,,,,,-0.5059204,0.05999756,0.86273193,,,,,,,
1743795015.4245331,1299.8535,833.2601,803.44324,1187.033,nan,nan,,,,,,,,,,
1743795015.4245696,,,,,,,,,,,,,nan,285152220.0,nan,
1743795015.4284382,1507.7656,784.10254,793.36993,942.4542,nan,nan,,,,,,,,,,
1743795015.4323432,399.70697,759.5238,807.47253,448.86447,nan,nan,,,,,,,,,,
1743795015.4362481,3.6263735,802.6374,826.8132,633.4066,nan,nan,,,,,,,,,,
1743795015.4401531,1035.9341,851.79486,834.4689,1122.1611,nan,nan,,,,,,,,,,
