timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805550.2120543,799.41394,792.1612,799.41394,823.1868,nan,nan,,,,,,,,,,
1743805550.2159593,773.22345,771.6117,780.87915,782.8938,nan,nan,,,,,,,,,,
1743805550.2173228,,,,,,,,,,,,,,nan,286526240.0,nan
1743805550.2198646,780.4762,794.57874,796.1905,770.0,nan,nan,,,,,,,,,,
1743805550.2226040,,,,,,,-0.17022705,0.070495605,0.99035645,,,,,,,
1743805550.2237699,811.9048,819.9634,812.71063,809.89014,nan,nan,,,,,,,,,,
1743805550.2276750,816.7399,814.3223,809.89014,832.0513,nan,nan,,,,,,,,,,
1743805550.2279572,,,,,,,,,,1612527.5,1608498.1,,,,,
1743805550.2315803,792.96704,784.5055,792.5641,794.9817,nan,nan,,,,,,,,,,
1743805550.2329426,,,,,,,,,,,,,,nan,286532670.0,nan
1743805550.2336524,,,,,,,,,,,,,29.118889,,,
1743805550.2354856,780.4762,779.2674,786.52014,758.315,nan,nan,,,,,,,,,,
1743805550.2393906,803.0403,817.9487,810.696,798.20514,nan,nan,,,,,,,,,,
1743805550.2422123,,,,,,,-0.17193604,0.06866455,0.99938965,,,,,,,
1743805550.2432959,825.6044,818.3516,821.5751,840.9158,nan,nan,,,,,,,,,,
1743805550.2472012,797.3993,784.5055,796.5934,811.0989,nan,nan,,,,,,,,,,
1743805550.2485621,,,,,,,,,,,,,,nan,286457730.0,nan
1743805550.2511063,784.90845,778.46155,784.10254,775.64105,nan,nan,,,,,,,,,,
1743805550.2550116,801.8315,817.1429,807.0696,790.14655,nan,nan,,,,,,,,,,
1743805550.2589169,814.7253,827.619,817.5458,812.3077,nan,nan,,,,,,,,,,
1743805550.2618203,,,,,,,-0.17504883,0.06903076,1.0041504,,,,,,,
1743805550.2628219,794.9817,772.4176,788.1319,806.26373,nan,nan,,,,,,,,,,
1743805550.2630858,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.2641816,,,,,,,,,,,,,,nan,286393250.0,nan
1743805550.2667272,768.7912,765.9707,772.8205,768.3883,nan,nan,,,,,,,,,,
