timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743795374.4835904,785.7143,791.3553,805.05493,734.1392,nan,nan,,,,,,,,,,
1743795374.4837792,,,,,,,,,,,,,,nan,306942720.0,nan
1743795374.4860570,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.4874923,813.1135,807.0696,797.8022,761.53845,nan,nan,,,,,,,,,,
1743795374.4881089,,,,,,,-0.056152344,0.12133789,1.008667,,,,,,,
1743795374.4913945,840.10986,801.4286,801.02563,882.8205,nan,nan,,,,,,,,,,
1743795374.4952967,820.3663,796.99634,803.44324,878.3883,nan,nan,,,,,,,,,,
1743795374.4991989,784.10254,795.38464,792.96704,757.50916,nan,nan,,,,,,,,,,
1743795374.4993842,,,,,,,,,,,,,,nan,306847600.0,nan
1743795374.5031011,791.75824,819.9634,790.54944,740.18317,nan,nan,,,,,,,,,,
1743795374.5070033,822.7839,826.4103,792.1612,850.18317,nan,nan,,,,,,,,,,
1743795374.5077221,,,,,,,-0.045654297,0.12322998,1.0153809,,,,,,,
1743795374.5109055,817.9487,808.68134,792.1612,880.40295,nan,nan,,,,,,,,,,
1743795374.5148077,774.83514,794.17584,805.4579,784.90845,nan,nan,,,,,,,,,,
1743795374.5149894,,,,,,,,,,,,,,nan,306788000.0,nan
1743795374.5187097,767.98535,796.1905,807.47253,731.31866,nan,nan,,,,,,,,,,
1743795374.5211658,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.5226119,800.6227,823.5897,803.8461,801.02563,nan,nan,,,,,,,,,,
1743795374.5234191,,,,,,,,,,,,,35.11193,,,
1743795374.5265141,824.7985,816.7399,804.65204,890.87915,nan,nan,,,,,,,,,,
1743795374.5273352,,,,,,,-0.05218506,0.10864258,1.0273438,,,,,,,
1743795374.5304163,788.93774,806.26373,795.38464,816.7399,nan,nan,,,,,,,,,,
1743795374.5305943,,,,,,,,,,,,,,nan,306817000.0,nan
1743795374.5343184,768.3883,806.26373,797.3993,719.2308,nan,nan,,,,,,,,,,
1743795374.5382206,802.6374,787.326,801.02563,778.0586,nan,nan,,,,,,,,,,
1743795374.5421228,824.7985,796.5934,801.4286,875.16486,nan,nan,,,,,,,,,,
1743795374.5460250,799.011,810.696,796.5934,831.6484,nan,nan,,,,,,,,,,
1743795374.5461996,,,,,,,,,,,,,,nan,306662270.0,nan
1743795374.5469482,,,,,,,-0.057739258,0.10424805,1.0246582,,,,,,,
1743795374.5499270,770.80585,799.81683,786.9231,720.0366,nan,nan,,,,,,,,,,
1743795374.5538292,794.17584,813.91943,795.38464,745.82416,nan,nan,,,,,,,,,,
1743795374.5562744,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.5577314,825.2015,815.5311,801.4286,854.61536,nan,nan,,,,,,,,,,
1743795374.5616336,815.12823,797.3993,802.6374,859.45056,nan,nan,,,,,,,,,,
1743795374.5618045,,,,,,,,,,,,,,nan,306600220.0,nan
1743795374.5655358,768.7912,799.41394,804.65204,745.42126,nan,nan,,,,,,,,,,
1743795374.5665612,,,,,,,-0.0680542,0.109191895,1.0106812,,,,,,,
1743795374.5694380,774.0293,814.3223,807.47253,722.8571,nan,nan,,,,,,,,,,
1743795374.5733402,819.5604,827.619,813.1135,845.7509,nan,nan,,,,,,,,,,
1743795374.5772421,828.4249,813.1135,803.8461,891.28204,nan,nan,,,,,,,,,,
1743795374.5774097,,,,,,,,,,,,,,nan,306572000.0,nan
1743795374.5811443,795.38464,791.3553,795.38464,787.326,nan,nan,,,,,,,,,,
1743795374.5850465,774.0293,793.7729,795.78754,721.2454,nan,nan,,,,,,,,,,
1743795374.5861742,,,,,,,-0.071899414,0.10253906,0.993042,,,,,,,
1743795374.5889487,821.1722,809.89014,806.6667,806.26373,nan,nan,,,,,,,,,,
1743795374.5896478,,,,,,,,,,,,,35.11193,,,
1743795374.5913830,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.5928509,842.52747,804.65204,816.7399,893.2967,nan,nan,,,,,,,,,,
1743795374.5930147,,,,,,,,,,,,,,nan,306534140.0,nan
1743795374.5967531,779.67035,790.9524,803.44324,804.2491,nan,nan,,,,,,,,,,
1743795374.6006553,772.8205,817.5458,804.65204,717.619,nan,nan,,,,,,,,,,
1743795374.6045575,816.7399,821.978,803.8461,785.7143,nan,nan,,,,,,,,,,
1743795374.6057873,,,,,,,-0.07507324,0.089416504,0.9880371,,,,,,,
